,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
471,1.0,83.0,42.0,16.0,1.0
472,1.0,1.0,15.0,1.0,16.0
473,7.0,5.0,2.0,24.0,2.0
474,1.0,34.0,1.0,2.0,1.0
475,1.0,1.0,3.0,2.0,1.0
476,1.0,6.0,1.0,1.0,8.0
477,20.0,31.0,2.0,9.0,7.0
478,1.0,1.0,46.0,4.0,1.0
479,1.0,2.0,61.0,1.0,1.0
480,3.0,1.0,1.0,1.0,4.0
481,1.0,4.0,121.0,1.0,3.0
482,13.0,131.0,24.0,30.0,11.0
483,5.0,68.0,36.0,2.0,4.0
484,9.0,64.0,3.0,19.0,1.0
485,2.0,44.0,11.0,32.0,3.0
486,1.0,23.0,175.0,25.0,1.0
487,2.0,8.0,11.0,3.0,3.0
488,1.0,87.0,1.0,1.0,19.0
489,1.0,1.0,3.0,3.0,1.0
490,1.0,1.0,1.0,108.0,17.0
491,1.0,2.0,8.0,162.0,4.0
492,1.0,2.0,98.0,1.0,2.0
493,1.0,37.0,24.0,27.0,1.0
494,1.0,37.0,9.0,3.0,1.0
495,1.0,16.0,33.0,5.0,1.0
496,7.0,2.0,3.0,15.0,42.0
497,2.0,6.0,1.0,1.0,1.0
498,9.0,1.0,2.0,1.0,8.0
499,1.0,6.0,1.0,4.0,17.0
500,1.0,2.0,2.0,1.0,22.0
501,1.0,2.0,3.0,9.0,1.0
502,1.0,4.0,29.0,1.0,12.0
503,10.0,33.0,12.0,7.0,1.0
504,2.0,2.0,1.0,3.0,1.0
505,1.0,12.0,8.0,2.0,1.0
506,10.0,2.0,3.0,19.0,18.0
507,1.0,1.0,2.0,3.0,1.0
508,1.0,4.0,39.0,3.0,22.0
509,2.0,8.0,63.0,1.0,5.0
510,6.0,4.0,6.0,1.0,1.0
511,2.0,4.0,4.0,1.0,10.0
512,14.0,6.0,15.0,1.0,7.0
513,1.0,3.0,49.0,34.0,1.0
514,1.0,3.0,111.0,1.0,1.0
515,1.0,3.0,58.0,1.0,10.0
516,1.0,2.0,1.0,1.0,1.0
517,14.0,1.0,1.0,1.0,18.0
518,7.0,2.0,59.0,2.0,1.0
