,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
441,3.0,1.0,25.0,4.0,3.0
442,1.0,1.0,27.0,112.0,274.0
443,1.0,33.0,1.0,1.0,4.0
444,1.0,4.0,36.0,14.0,6.0
445,11.0,31.0,2.0,1.0,5.0
446,7.0,8.0,6.0,5.0,2.0
447,2.0,2.0,1.0,1.0,2.0
448,9.0,151.0,1.0,1.0,143.0
449,1.0,1.0,2.0,9.0,72.0
450,3.0,76.0,27.0,13.0,1.0
451,1.0,97.0,11.0,1.0,1.0
452,1.0,14.0,3.0,1.0,2.0
453,1.0,71.0,3.0,1.0,7.0
454,10.0,3.0,5.0,1.0,318.0
455,1.0,88.0,1.0,1.0,1.0
456,2.0,20.0,2.0,1.0,19.0
457,1.0,1.0,1.0,3.0,1.0
458,1.0,8.0,12.0,7.0,8.0
459,1.0,1.0,1.0,1.0,35.0
460,7.0,2.0,8.0,134.0,3.0
461,1.0,2.0,43.0,1.0,4.0
462,1.0,1.0,1.0,1.0,54.0
463,1.0,1.0,130.0,1.0,2.0
464,1.0,1.0,11.0,1.0,31.0
465,3.0,1.0,3.0,1.0,29.0
466,1.0,2.0,4.0,2.0,10.0
467,1.0,2.0,158.0,2.0,124.0
468,2.0,12.0,26.0,1.0,55.0
469,1.0,2.0,1.0,27.0,16.0
470,7.0,19.0,11.0,3.0,446.0
471,2.0,62.0,54.0,1.0,1.0
472,14.0,35.0,5.0,1.0,413.0
473,1.0,4.0,159.0,7.0,1.0
474,1.0,4.0,5.0,31.0,4.0
475,55.0,4.0,120.0,1.0,204.0
476,1.0,5.0,2.0,1.0,1.0
477,14.0,3.0,15.0,49.0,3.0
478,1.0,4.0,64.0,1.0,226.0
479,19.0,3.0,1.0,1.0,1.0
480,6.0,1.0,117.0,1.0,1.0
481,1.0,2.0,2.0,2.0,2.0
482,1.0,1.0,1.0,1.0,1600.0
483,42.0,3.0,4.0,1.0,1.0
484,6.0,1.0,12.0,1.0,4.0
485,1.0,9.0,9.0,1.0,13.0
486,1.0,2.0,21.0,27.0,4.0
487,1.0,5.0,4.0,8.0,52.0
488,1.0,6.0,65.0,3.0,9.0
489,2.0,76.0,8.0,3.0,6.0
490,1.0,4.0,2.0,24.0,1.0
491,1.0,18.0,3.0,18.0,2.0
492,2.0,1.0,14.0,1.0,1.0
493,106.0,3.0,6.0,1.0,4.0
494,4.0,6.0,33.0,6.0,19.0
495,8.0,13.0,30.0,4.0,25.0
496,53.0,6.0,17.0,1.0,27.0
497,4.0,7.0,2.0,1.0,1.0
498,1.0,5.0,2.0,2.0,3.0
499,1.0,7.0,13.0,1.0,7.0
500,1.0,46.0,1.0,1.0,23.0
501,2.0,5.0,1.0,1.0,4.0
502,104.0,1.0,21.0,3.0,14.0
503,16.0,26.0,1.0,3.0,20.0
504,2.0,4.0,2.0,1.0,28.0
505,3.0,1.0,1.0,43.0,1.0
506,2.0,2.0,1.0,2.0,23.0
507,6.0,5.0,147.0,1.0,2.0
508,4.0,5.0,1.0,1.0,79.0
509,1.0,51.0,3.0,1.0,2.0
510,1.0,2.0,4.0,1.0,24.0
511,78.0,9.0,151.0,3.0,3.0
512,1.0,1.0,1.0,1.0,1.0
513,171.0,1.0,5.0,6.0,2.0
514,1.0,3.0,1.0,22.0,4.0
515,1.0,6.0,2.0,6.0,1.0
516,3.0,3.0,16.0,1.0,91.0
517,3.0,1.0,1.0,1.0,9.0
518,2.0,1.0,1.0,4.0,1.0
519,1.0,6.0,6.0,1.0,6.0
520,3.0,12.0,20.0,1.0,2.0
521,6.0,1.0,1.0,2.0,1.0
522,7.0,1.0,21.0,1.0,14.0
523,8.0,3.0,1.0,1.0,1.0
524,3.0,7.0,1.0,7.0,4.0
525,1.0,252.0,1.0,118.0,1.0
526,3.0,12.0,1.0,6.0,8.0
527,1.0,11.0,1.0,330.0,1.0
528,1.0,1.0,1.0,9.0,6.0
529,1.0,1.0,1.0,334.0,1.0
530,1.0,223.0,1.0,1.0,1.0
531,1.0,3.0,1.0,1.0,12.0
532,1.0,16.0,8.0,1.0,239.0
533,4.0,2.0,1.0,1.0,1.0
534,1.0,1.0,2.0,5.0,1.0
535,2.0,51.0,1.0,1.0,3.0
536,2.0,98.0,1.0,2.0,41.0
537,4.0,42.0,5.0,1.0,2.0
538,1.0,2.0,1.0,1.0,5.0
539,2.0,39.0,1.0,262.0,5.0
540,110.0,21.0,1.0,2.0,1.0
541,1.0,1.0,1.0,2.0,23.0
542,1.0,2.0,2.0,49.0,70.0
543,41.0,214.0,1.0,1.0,4.0
544,5.0,109.0,1.0,2.0,1.0
545,1.0,4.0,78.0,16.0,63.0
546,1.0,35.0,1.0,1.0,6.0
547,4.0,1.0,29.0,1.0,11.0
548,2.0,8.0,1.0,1.0,3.0
549,4.0,2.0,1.0,1.0,1.0
550,2.0,4.0,1.0,1.0,2.0
551,4.0,5.0,1.0,1.0,51.0
552,2.0,34.0,30.0,4.0,4.0
553,1.0,3.0,16.0,1.0,3.0
554,3.0,1.0,3.0,43.0,1.0
555,2.0,1.0,1.0,1.0,1.0
556,1.0,10.0,35.0,1.0,33.0
557,2.0,37.0,68.0,1.0,25.0
558,1.0,1.0,36.0,27.0,21.0
559,3.0,1.0,79.0,8.0,8.0
560,1.0,1.0,1.0,1.0,14.0
561,1.0,5.0,9.0,2.0,64.0
562,4.0,41.0,2.0,1.0,17.0
563,16.0,11.0,16.0,18.0,16.0
564,1.0,2.0,45.0,1.0,3.0
565,4.0,1.0,10.0,1.0,1.0
566,1.0,2.0,1.0,1.0,1.0
567,4.0,1.0,49.0,1.0,1.0
