,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
205,8.0,13.0,1.0,1.0,8.0
206,35.0,11.0,70.0,5.0,25.0
207,2.0,10.0,1.0,1.0,14.0
208,1.0,1.0,2.0,1.0,37.0
209,24.0,2.0,17.0,3.0,3.0
210,1.0,10.0,1.0,1.0,12.0
211,3.0,3.0,1.0,1.0,1.0
212,9.0,3.0,71.0,30.0,38.0
213,13.0,3.0,2.0,1.0,91.0
214,25.0,1.0,32.0,2.0,1.0
215,10.0,2.0,2.0,1.0,44.0
216,20.0,3.0,5.0,3.0,3.0
217,5.0,3.0,9.0,7.0,43.0
218,3.0,3.0,4.0,4.0,81.0
219,4.0,4.0,6.0,1.0,3.0
220,7.0,2.0,43.0,48.0,28.0
221,2.0,2.0,1.0,1.0,163.0
222,1.0,7.0,6.0,28.0,4.0
223,2.0,7.0,5.0,4.0,55.0
224,31.0,4.0,16.0,1.0,227.0
225,1.0,1.0,3.0,5.0,45.0
226,64.0,23.0,14.0,3.0,64.0
227,3.0,2.0,1.0,1.0,7.0
228,21.0,1.0,2.0,1.0,2.0
229,27.0,12.0,33.0,9.0,10.0
230,5.0,1.0,34.0,4.0,24.0
231,1.0,3.0,42.0,1.0,7.0
232,6.0,10.0,13.0,2.0,2.0
233,1.0,14.0,2.0,47.0,73.0
234,2.0,1.0,1.0,4.0,1.0
235,22.0,39.0,1.0,2.0,1.0
236,2.0,3.0,29.0,10.0,19.0
237,22.0,1.0,1.0,1.0,2.0
238,3.0,2.0,1.0,5.0,1.0
239,14.0,21.0,1.0,2.0,59.0
240,34.0,13.0,1.0,2.0,12.0
241,2.0,1.0,1.0,5.0,6.0
242,4.0,10.0,1.0,1.0,41.0
243,6.0,17.0,1.0,1.0,20.0
244,17.0,18.0,1.0,1.0,1.0
245,2.0,39.0,15.0,1.0,1.0
246,20.0,9.0,1.0,3.0,1.0
247,27.0,21.0,1.0,5.0,9.0
248,24.0,1.0,2.0,1.0,1.0
249,11.0,13.0,4.0,3.0,1.0
250,42.0,8.0,1.0,3.0,10.0
251,2.0,5.0,25.0,11.0,39.0
252,1.0,1.0,1.0,13.0,4.0
