CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,4.0,1.0,67.0,1
19.0,6.0,4.0,2.0,34
10.0,1.0,2.0,1.0,4
11.0,1.0,9.0,1.0,1
1.0,1.0,1.0,1.0,3
1.0,2.0,1.0,1.0,178
378.0,1.0,66.0,1.0,117
5.0,1.0,3.0,72.0,1
52.0,1.0,7.0,6.0,85
4.0,3.0,1.0,1.0,1
1.0,1.0,2.0,3.0,3
1.0,1.0,36.0,4.0,3
1.0,1.0,20.0,1.0,1
2.0,1.0,19.0,1.0,1
1.0,1.0,2.0,1.0,4
1.0,1.0,33.0,3.0,102
8.0,2.0,24.0,1.0,5
2.0,1.0,18.0,1.0,9
4.0,37.0,9.0,3.0,1
1.0,10.0,1.0,13.0,196
1.0,4.0,1.0,45.0,2
1.0,24.0,1.0,1.0,15
1.0,10.0,1.0,4.0,1
1.0,1.0,2.0,1.0,1
2.0,1.0,1.0,8.0,54
1.0,17.0,1.0,1.0,119
1.0,6.0,1.0,3.0,101
1.0,1.0,1.0,1.0,76
41.0,1.0,1.0,1.0,2
95.0,3.0,4.0,34.0,1
2.0,1.0,41.0,1.0,28
1.0,3.0,6.0,65.0,19
6.0,43.0,141.0,8.0,49
1.0,53.0,3.0,1.0,2
3.0,64.0,3.0,3.0,5
3.0,1.0,42.0,13.0,18
1.0,1.0,2.0,3.0,1
11.0,4.0,1.0,7.0,1
3.0,25.0,1.0,1.0,1
3.0,2.0,1.0,3.0,9
1.0,4.0,106.0,1.0,1
7.0,1.0,106.0,1.0,1
1.0,3.0,1.0,1.0,3
3.0,3.0,6.0,2.0,43
26.0,2.0,41.0,9.0,5
44.0,5.0,13.0,13.0,43
1.0,14.0,18.0,2.0,2
45.0,1.0,8.0,239.0,29
1.0,1.0,29.0,6.0,1
5.0,22.0,1.0,28.0,5
1.0,1.0,6.0,1.0,109
1.0,1.0,117.0,9.0,56
1.0,3.0,156.0,1.0,2
19.0,1.0,38.0,1.0,27
1.0,9.0,1.0,4.0,3
25.0,2.0,18.0,1.0,1
34.0,3.0,123.0,1.0,4
6.0,161.0,2.0,7.0,10
1.0,140.0,3.0,1.0,68
1.0,6.0,215.0,2.0,5
1.0,5.0,3.0,1.0,10
1.0,2.0,27.0,1.0,488
5.0,1.0,1.0,1.0,16
17.0,2.0,3.0,21.0,4
1.0,3.0,2.0,390.0,1
4.0,18.0,1.0,76.0,1
24.0,9.0,1.0,5.0,4
2.0,2.0,6.0,2.0,31
1.0,9.0,58.0,19.0,1
5.0,2.0,2.0,25.0,9
46.0,3.0,1.0,1.0,2
7.0,1.0,13.0,6.0,1
2.0,4.0,12.0,42.0,16
2.0,2.0,2.0,73.0,9
2.0,1.0,33.0,1.0,12
51.0,3.0,146.0,1.0,37
3.0,3.0,15.0,1.0,16
27.0,16.0,6.0,3.0,1
3.0,12.0,1.0,1.0,1
8.0,1.0,16.0,1.0,1
2.0,2.0,23.0,1.0,1
13.0,7.0,15.0,65.0,1
6.0,2.0,13.0,26.0,1
9.0,55.0,1.0,35.0,1
12.0,1.0,1.0,2.0,35
9.0,6.0,1.0,4.0,1
2.0,5.0,7.0,1.0,50
2.0,11.0,1.0,39.0,3
6.0,1.0,1.0,3.0,1
1.0,1.0,1.0,4.0,1
1.0,2.0,1.0,1.0,68
1.0,5.0,1.0,1.0,62
1.0,40.0,1.0,1.0,1
8.0,36.0,1.0,3.0,1
2.0,1.0,1.0,1.0,2
1.0,3.0,1.0,2.0,37
1.0,1.0,1.0,6.0,6
1.0,14.0,50.0,59.0,1
2.0,1.0,2.0,1.0,6
3.0,1.0,91.0,1.0,5
7.0,3.0,1.0,3.0,60
1.0,1.0,3.0,2.0,11
1.0,3.0,53.0,2.0,1
14.0,1.0,16.0,1.0,25
1.0,20.0,2.0,38.0,2
1.0,2.0,1.0,1.0,1
327.0,7.0,8.0,46.0,11
9.0,1.0,1.0,6.0,1
1.0,15.0,141.0,6.0,4
4.0,21.0,1.0,2.0,3
1.0,6.0,110.0,3.0,1
1.0,5.0,1.0,1.0,2
1.0,1.0,34.0,1.0,61
1.0,2.0,21.0,2.0,1
1.0,1.0,28.0,1.0,1
1.0,33.0,9.0,6.0,111
8.0,7.0,27.0,28.0,36
1.0,1.0,11.0,2.0,1
1.0,5.0,1.0,163.0,7
3.0,66.0,124.0,2.0,1
1.0,76.0,88.0,14.0,17
1.0,36.0,43.0,19.0,1
1.0,2.0,1.0,1.0,8
1.0,1.0,8.0,2.0,48
1.0,1.0,101.0,5.0,94
1.0,11.0,1.0,3.0,2
1.0,29.0,112.0,4.0,1
1.0,4.0,2.0,16.0,1
52.0,2.0,62.0,1.0,1
127.0,5.0,5.0,302.0,1
2.0,5.0,1.0,22.0,2
3.0,9.0,1.0,8.0,1
4.0,2.0,9.0,1.0,1
1.0,2.0,47.0,2.0,20
1.0,4.0,3.0,1.0,27
60.0,4.0,7.0,39.0,20
6.0,5.0,39.0,2.0,1
2.0,2.0,1.0,27.0,58
2.0,43.0,121.0,5.0,226
1.0,1.0,1.0,26.0,9
1.0,8.0,2.0,71.0,1
1.0,1.0,1.0,2.0,71
18.0,4.0,2.0,1.0,1
7.0,3.0,1.0,1.0,57
9.0,1.0,10.0,2.0,8
1.0,2.0,22.0,1.0,2
39.0,247.0,5.0,4.0,12
116.0,186.0,18.0,46.0,4
2.0,1.0,1.0,7.0,1
51.0,21.0,1.0,38.0,21
7.0,3.0,1.0,3.0,10
11.0,2.0,3.0,3.0,1
1.0,11.0,2.0,16.0,2
45.0,4.0,3.0,10.0,1
45.0,2.0,1.0,1.0,31
15.0,33.0,1.0,1.0,3
1.0,7.0,1.0,2.0,1
7.0,3.0,1.0,1.0,7
5.0,2.0,1.0,1.0,3
7.0,11.0,35.0,13.0,2
42.0,3.0,1.0,50.0,255
2.0,1.0,108.0,4.0,1
13.0,1.0,6.0,1.0,1
66.0,1.0,3.0,2.0,65
5.0,24.0,38.0,58.0,1
2.0,4.0,1.0,71.0,3
1.0,15.0,14.0,6.0,1
1.0,3.0,1.0,4.0,1
56.0,1.0,1.0,1.0,36
11.0,2.0,125.0,3.0,1
2.0,23.0,4.0,3.0,1
67.0,4.0,89.0,26.0,1
58.0,1.0,1.0,36.0,10
2.0,1.0,13.0,1.0,113
2.0,1.0,14.0,165.0,2
82.0,4.0,2.0,2.0,5
30.0,59.0,27.0,12.0,185
3.0,1.0,6.0,2.0,2
6.0,1.0,32.0,1.0,8
15.0,1.0,11.0,1.0,3
4.0,6.0,103.0,5.0,1
1.0,4.0,109.0,2.0,37
16.0,1.0,47.0,4.0,8
5.0,32.0,8.0,7.0,97
5.0,3.0,88.0,1.0,94
7.0,2.0,1.0,1.0,65
8.0,6.0,51.0,1.0,1
1.0,12.0,3.0,37.0,8
1.0,6.0,9.0,2.0,1
4.0,36.0,57.0,1.0,1
1.0,57.0,6.0,322.0,5
3.0,6.0,3.0,19.0,26
1.0,2.0,3.0,9.0,39
2.0,14.0,1.0,1.0,1
1.0,1.0,6.0,24.0,2
3.0,2.0,45.0,26.0,4
1.0,2.0,1.0,1.0,19
3.0,1.0,12.0,10.0,2
3.0,1.0,1.0,36.0,3
3.0,1.0,8.0,82.0,1
1.0,4.0,1.0,1.0,10
1.0,1.0,1.0,3.0,2
1.0,1.0,111.0,1.0,1
3.0,1.0,1.0,50.0,1
8.0,1.0,14.0,2.0,1
1.0,1.0,3.0,21.0,63
3.0,1.0,1.0,1.0,3
1.0,4.0,3.0,8.0,23
9.0,1.0,30.0,2.0,1
2.0,17.0,4.0,5.0,1
1.0,11.0,4.0,2.0,2
547.0,1.0,1.0,3.0,29
15.0,16.0,1.0,3.0,1
19.0,24.0,1.0,5.0,6
1.0,2.0,1.0,5.0,129
1.0,1.0,1.0,1.0,8
1.0,1.0,1.0,1.0,1
1.0,2.0,1.0,1.0,3
2.0,18.0,2.0,1.0,1
1.0,2.0,1.0,1.0,3
1.0,4.0,1.0,4.0,10
1.0,2.0,1.0,30.0,59
2.0,16.0,1.0,1.0,1
1.0,67.0,1.0,1.0,11
4.0,142.0,31.0,11.0,30
1.0,92.0,65.0,7.0,417
